displayName.text,primaryTypeDisplayName.text,shortFormattedAddress,rating,userRatingCount,googleMapsUri,websiteUri
Ah Loy Thai,Thai restaurant,"9 Tan Quee Lan St, #01-04 Bugis, Singapore",4.2,1392,https://maps.google.com/?cid=12734440987675145456,
Yhingthai Palace Restaurant,Thai restaurant,"36 Purvis St, #01-04, Singapore",4.1,368,https://maps.google.com/?cid=6084384629812192327,http://www.yhingthai.com.sg/
Sanook Kitchen,Thai restaurant,"3 Temasek Blvd, #B1-134, Singapore",4.5,1075,https://maps.google.com/?cid=15894430430888141530,
Bali Thai (Suntec City),Thai restaurant,"3 Temasek Blvd, Tower 5 #B1-121A 121B, Singapore",4.2,602,https://maps.google.com/?cid=9918345046687215129,http://www.balithai.com.sg/
Pratunam PLUS by Soi Thai Soi Nice - Bugis+,Thai restaurant,"201 Victoria St, #04-09 Bugis+, Singapore",4.0,239,https://maps.google.com/?cid=1672477008035860634,http://pratunam.sg/
Thai Affair,Thai restaurant,"9 Raffles Blvd, #01 - 103A Millenia Walk, Singapore",4.5,79,https://maps.google.com/?cid=6005140356999884865,https://thaiaffair.oddle.me/en_SG/
FERN FERN THAI FOOD,Thai restaurant,"152 Beach Rd, B1- 01, Singapore",4.8,5,https://maps.google.com/?cid=1542210201241898623,
WanThai Mee,Thai restaurant,"341 Beach Rd, Singapore",4.0,95,https://maps.google.com/?cid=17816142936961170068,
Wan Thai Wantan Noodles,Restaurant,"341 Beach Rd, Singapore",4.4,17,https://maps.google.com/?cid=10935453146902495558,
Bangkok Thai Muslim,Restaurant,"43 Sultan Gate, Singapore",4.2,161,https://maps.google.com/?cid=1811211732614362755,https://bangkokthaimuslim.myshopmatic.com/
Mr Mookata - Bugis,Restaurant,"516 Liang Seah St, Singapore",4.2,555,https://maps.google.com/?cid=15558469572114985827,https://www.facebook.com/MrMookata
Soi 19 Thai Wanton Mee (Raffles Hospital Bugis),Restaurant,"585 North Bridge Rd, #01-04 Raffles Hospital, Singapore",3.5,14,https://maps.google.com/?cid=17878047643748978102,https://soi19.sg/
THE THAI SPA (BEST SPA IN SINGAPORE),Spa,"Suntec City, Tower 1, 3 Temasek Blvd, #03 - 324 3",4.3,235,https://maps.google.com/?cid=3824685199627043593,http://thethaispa.com.sg/
Broti,Takeout restaurant,"34 Bussorah St, Singapore",4.3,72,https://maps.google.com/?cid=3172391714623257588,
